,abstract,author,download_number,field,foundation,issue,keyword,number,organization,page,page_number,size,title,year
33,"模块化多电平换流器(MMC)在中、高压能量交换系统中应用越来越广泛。当MMC用于中低压配电网领域,电网电压的不平衡会产生负序电流,引起MMC桥臂环流增加和功率、直流电压的波动,严重时可能会影响换流器的运行特性。为确保换流器的安全运行及提高电能传输质量,研究MMC在电网电压不平衡状态下的控制策略尤其关键。首先对比分析电网电压不平衡时对MMC和传统二电平VSC内外特性所造成的影响;然后提出一种基于MMC桥臂电流的统一电流控制器,将MMC的交流侧电流和内部不平衡环流同时控制,不需分离电流分量,减少环流抑制器,整体控制系统得以简化,响应速度快;最后,在PSCAD/EMTDC中搭建5电平MMC仿真模型,验证所提控制策略的可靠性和有效性。","['李婧', '袁旭峰', '袁晓敏', '刘安茳']",21,['电力工业'],"['国家自然科学基金项目资助(51667007)', '中国南方电网有限责任公司重点科技项目资助(GZKJQQ00000417)']",5,"['模块化多电平换流器(MMC)', '电网电压不平衡', '负序电流', '功率直流电压波动', '统一电流控制器']",10,['贵州大学电气工程学院'],43-48,6,255K,电网电压不平衡时对MMC影响分析及控制策略研究,2017
34,"光伏电源接入配电网后,改变了配电网的潮流分布,对配电网电压和网损产生了影响。在此基础上,分析了分布式光伏发电接入传统配电网后给配电网电压及网损带来的影响。结合IEEE37节点网络,在OpenDSS仿真软件中建立了仿真模型,定量分析了不同接入点和不同渗透率的分布式光伏对配电网电压及网损的影响。结果表明,合适的并网容量和接入位置对支撑节点电压和改善网损有一定积极作用。","['张天卫', '袁旭峰', '熊炜', '时豪', '唐圣辉']",21,['电力工业'],"['国家自然科学基金(51667007)', '中国南方电网有限责任公司重点科技项目(GZKJQQ00000417)']",5,"['光伏电源', '并网容量', 'OpenDSS', '电压分布', '有功损耗']",11,['贵州大学电气工程学院'],49-53+70,6,258K,基于OpenDSS的含光伏发电对配电网电压及网损的影响,2017
35,"随着电动汽车的研究和使用逐步得到完善,按照当前电网的负荷运行能力,大量的充电负荷随机接入电网必然会对电网造成很大的影响,给配电网的运行带来巨大挑战。为了减小电动汽车充电给配电网带来的影响,考虑提高电网利用效率、经济性充电、避峰填谷等因素,本文分析电动汽车的充电方式、用户出行习惯、开始充电时刻以及日行驶里程等,建立小区充电负荷模型,在保证小区变压器安全运行的条件下,基于峰谷电价分时电价构建以用户充电费用最小为目标函数,满足小区电动汽车用户的充电需求。最后,运用蒙特卡洛法(Monte Carlo method)进行算例仿真和分析验证。","['刘安茳', '袁旭峰', '李靖']",18,['电力工业'],"['国家自然科学基金(51667007)', '中国南方电网有限责任公司重点科技项目(GZKJQQ00000417)']",5,"['电动汽车', '有序充电', '分时电价', '削峰填谷', '蒙特卡洛法']",12,['贵州大学电气工程学院'],54-58,5,224K,基于分时电价的小区电动汽车有序充电策略研究,2017
36,"提出了一种半哑铃型缺陷地结构的带阻滤波器。在传统哑铃型缺陷地结构的基础上,设计了半哑铃型缺陷地结构单元,实现了带阻特性。相较于传统的哑铃型DGS结构,半哑铃型DGS结构的阻带衰减更陡峭,阻带宽度更理想。文中分析了半哑铃型DGS结构单元的特性,得到最佳性能的仿真模型。对两个半哑铃型DGS单元级联构成的带阻滤波器进行仿真,结果表明,滤波器的带内最大阻带深度达到45 d B,-10 d B的阻带宽度达11.5 GHz(10.1 GHz21.6 GHz)。","['李澜', '吴良威', '朱亚鹏', '张正平']",10,['无线电电子学'],"['国家自然科学基金(批准号:11204046)', '国家科技部国际科技合作项目(批准号:2014DFA00670)']",5,"['微带线', '缺陷地结构', '带阻滤波器']",13,"['贵州大学大数据与信息工程学院', '东南大学毫米波国家重点实验室']",59-61,3,200K,半哑铃型缺陷地结构带阻滤波器,2017
37,"提出了一种新型无源声表面波压力传感器结构,在传统反射式延迟线型无源声表面波压力传感器的结构的基础上,加入了多条耦合器,使传统单声路结构变为双声路结构,利用二端口网络进行了分析,结果证明提高了回波的信噪比。在无线测量系统中,对回波信号的测量利用了正交相干检波的方式,用相位的检测代替了时延的检测,提高了测量精度。","['叶浩', '王代强']",16,['自动化技术'],"['国家自然科学基金(11564005)', '贵州省功率元器件重点实验室项目基金(KFJJ201501)', '贵州民族大学引进人才基金项目(16yjrcxm001)']",5,"['声表面波', '反射型延迟线', '多条耦合器', '双声路', '相干检波']",14,"['贵州大学大数据与信息工程学院', '贵州民族大学机械电子工程学院']",62-65,4,191K,延迟线型无源声表面波压力传感器结构的研究,2017
38,"针对支持公开验证的云存储模式中用户的数据隐私有可能泄露给第三方审计(TPA)的问题,为保护用户云端数据隐私和数据完整,提出一个基于双线性映射的云端数据完整性检测协议。该协议利用哈希函数单向性的性质,云存储服务器收到第三方审计的挑战请求后,对所需验证的数据块进行哈希运算处理,使第三方审计在验证阶段无法获得用户数据信息,从而保护用户的数据隐私;然后给出所提协议的正确性、数据完整性和数据隐私保护的分析;此外通过Merkel哈希树(MHT)的引入解决了数据动态更新的问题,如修改、删除、插入、追加。","['刘田天', '龙士工', '冯金明']",11,"['计算机硬件技术', '计算机软件及计算机应用']",['国家自然科学基金项目资助(61163001)'],5,"['云存储', '数据完整性', '数据隐私保护', '双线性映射', '公开验证']",15,"['贵州大学数学与统计学院', '贵州大学计算机科学与技术学院']",66-70,5,136K,一种基于双线性对的云存储数据安全保护协议,2017
39,"针对主动悬架最优控制器LQG的加权矩阵Q和R参数主要由人工调整来确定,不仅费时,而且无法保证获得最优的权重矩阵。本文采用粒子群算法对LQG的控制参数进行优化。通过利用粒子群算法的全局搜索能力,以主动悬架性能指标为目标函数对加权矩阵进行优化,以提高LQG的设计效率和性能。在Matlab/Simulink环境中进行仿真分析,结果表明:与传统的LQG控制比较,基于粒子群优化的LQR控制器使主动悬架的车身垂直加速度、悬架动行程和轮胎动位移的均方根值均得到降低,可以使车辆获得更优的乘坐舒适性和操作稳定性。","['张玉分', '卢家暄', '龙金莲', '李婧']",29,"['汽车工业', '自动化技术']",['国家自然科学基金项目资助(51567005)'],5,"['粒子群算法', '线性二次型(LQG)控制器', '主动悬架']",16,"['贵州大学电气工程学院', '贵州大学大数据与信息工程学院']",71-75+82,6,340K,基于粒子群优化的主动悬架最优控制研究,2017
40,"软组织穿刺实时仿真一直是计算机图形学研究的重点,本文提出一种基于快速质点弹簧方法的软组织穿刺实时仿真方法。通过质点弹簧系统建立软组织物理模型,通过分析动力学模型快速求解软组织穿刺形变的数值解。在针体和软组织碰撞的碰撞过程使用包围盒碰撞算法,并且在软组织形变过程中加入阻尼和软组织褶皱算法以提高真实感。仿真结果保留了较好的细节效果,实时性可以接受,验证了该方法的有效性。","['兰敏超', '陈国栋', '王娜']",13,['计算机软件及计算机应用'],"['国家自然科学基金(61471124)', '福建省自然科学基金(2016J01293,2017J01107)']",5,"['质点弹簧系统(MMS)', '软组织形变', '计算机仿真', '软组织穿刺']",17,"['福州大学物理与信息工程学院', '福建师范大学福清分校']",76-82,7,293K,基于快速质点-弹簧的软组织穿刺实时仿真方法的研究,2017
41,"为克服k-means算法对初始聚类中心敏感的缺点,提出用改进后的人工蜂群算法来优化k-means算法的聚类中心。用最大距离积法对蜜源进行初始化,提高了蜜源的质量。增加蜜源搜索范围的动态调整因子,加快了算法的收敛速度。蜂群间经验值的交换,让算法在跳出局部最优解的同时,获得一个适应度值较高的蜜源;孤立点的寻找进一步提高了算法的有效性。实验表明,该算法加快了算法的收敛速度并提高了k-means聚类结果的准确度。","['贺思云', '高建瓴', '陈岚']",32,"['计算机软件及计算机应用', '自动化技术']","['贵州省科学技术基金项目(黔科合J字[2015]2045)', '贵州省档案局科研项目(2015D001)', '贵州大学研究生创新基金项目(研理工2017014)']",5,"['人工蜂群算法', 'k-means聚类', '最大距离积', '动态调整范围', '孤立点']",18,"['贵州大学大数据与信息工程学院', '贵州大学档案馆']",83-87+99,6,265K,基于改进人工蜂群算法的k-means聚类算法,2017
42,"为了更好地实现AR互动大屏开发中透明视频的播放,提出在Unity 3D中实现透明视频的播放技术:首先使用AE软件制作带Alpha通道的视频,接着使用C#语言编写可播放透明视频的Shader,最后在Unity 3D中开启摄像头实现互动大屏的视频播放。测试结果表明:既能够看到透明视频中的真实世界,又能够看到虚拟的影像,从而实现了AR大屏互动。",['魏三强'],11,['计算机软件及计算机应用'],"['国家自然科学基金资助项目(61572036)', '安徽省高校省级自然科学基金重点项目(KJ2016A781)']",5,"['AR互动大屏', '透明视频', 'After Effects', 'Unity 3D', 'C#脚本']",19,"['宿州职业技术学院计算机信息系', '中国矿业大学信息与控制工程学院']",88-92,5,239K,一种AR互动大屏开发中的透明视频播放技术,2017
43,"随着FlexRay总线在汽车安全以及动力系统中的广泛应用,车内CAN总线和FlexRay总线之间的数据传输成为迫切需要解决的问题。本文以飞思卡尔的MC9S12XF512微处理器为核心,分别搭载了CAN总线接口电路和FlexRay总线接口电路构成网关的整体结构。并分析了CAN与FlexRay两种不同数据帧格式,提出了一种CAN-FlexRay网关的设计思想,解决这两种总线关于不同协议、数据帧格式之间的转换问题。其中针对CAN-FlexRay网关中数据转换遇到的难点问题进行了研究分析,采用了双缓冲区结构,保证数据转换的完整性与可靠性。","['张哲宇', '王义']",21,"['汽车工业', '自动化技术']","['国家自然科学基金(6126007)', '贵州省科技厅国际科技合作计划项目(黔科合外G字[2014]7007)', '贵州省普通高等学校汽车电子技术特色重点实验室(黔教合KY字[2014]213)']",5,"['CAN总线', 'FlexRay总线', '网关', 'MC9S12XF512单片机', '数据转换']",20,"['贵州大学大数据与信息工程学院', '贵州师范大学物理与电子科学学院']",93-99,7,405K,汽车CAN-FlexRay总线网关研究与设计,2017
44,"本文介绍了一种新型的钢网格盒式结构-装配式混合型空间钢网格盒式结构,已申请相关发明专利,对其产生和发展做了简单介绍。针对此种新型结构,以某实际工程为例,采用SATWE程序对结构进行多遇地震作用下的计算,从周期比、位移角和位移比、承载力之比对结构抗震性能进行评估。分析结果表明,该新型盒式结构整体稳定性和抗侧刚度均较好,能够满足设计要求。","['朱鹏昊', '马克俭']",23,['建筑科学与工程'],"['国家自然科学基金(50968004)', '贵州省科技创新人才团队建设项目,黔科合人才团队([2014]4012)', '贵州省新型建筑结构体系科技创新人才团队,2014/08/01-2017/07/31']",5,"['混合型', '装配式', '盒式结构', '钢结构', '振型分解反应谱法']",21,['贵州大学空间结构研究中心'],100-104,5,349K,多层大跨度装配式混合型空间钢网格盒式结构的工程应用,2017
45,"温度对红粘土收缩、膨胀影响很大。在105℃和25℃条件下,通过大量室内试验,研究了温度对红粘土含水率、收缩和膨胀胀变形规律。结果表明,。含水率随时间关系可用多项式函数来拟合。温度越高收缩、膨胀越快。线缩率随含水率的增大而增大,随压实度的增大而增大。红粘土线缩率随时间关系可用多项式函数来拟合。膨胀率随时间关系可用对数函数来拟合。","['吕梦飞', '陈开圣']",8,['建筑科学与工程'],"['国家自然科学基金项目(51368010,51668011)', '贵州省科技支撑计划项目(黔科合支撑[2016]2005)', '贵州科技厅-贵州大学联合资金项目(黔科合LH字[2014]7663)', '贵州大学研究生创新基金项目(研理工2017032)']",5,"['温度', '红粘土', '含水率', '胀缩变形']",22,['贵州大学土木工程学院'],105-109,5,361K,温度对红粘土胀缩特性研究,2017
